,team_place,spread
,,
school,,
Stanford,1.0,20.200000000000045
Wisconsin,2.0,31.299999999999955
Iowa State,3.0,31.90000000000009
Wake Forest,4.0,34.100000000000136
Northern Arizona,5.0,38.0
Oregon,6.0,41.69999999999982
Ole Miss,7.0,44.90000000000009
BYU,8.0,48.5
Washington,9.0,48.700000000000045
Syracuse,10.0,49.30000000000018
Notre Dame,11.0,54.600000000000136
Colorado,12.0,59.80000000000018
Wyoming,13.0,60.399999999999864
Princeton,14.0,71.39999999999986
CBU,15.0,71.5
Oklahoma State,16.0,73.59999999999991
Georgetown,17.0,76.90000000000009
Alabama,18.0,79.40000000000009
Eastern Kentucky,19.0,79.59999999999991
North Carolina,20.0,81.29999999999995
Tulsa,21.0,85.90000000000009
Arkansas,22.0,86.79999999999995
Virginia,23.0,88.70000000000005
Utah State,24.0,94.19999999999982
New Mexico,25.0,94.59999999999991
Butler,26.0,96.0
Virginia Tech,27.0,100.0
Villanova,28.0,112.09999999999991
Furman,29.0,117.30000000000018
Tulane,30.0,120.5
Harvard,31.0,165.0999999999999
