school,team_place,points
BYU,1.0,178
Iowa State,2.0,216
Wisconsin,3.0,284
Northern Arizona,4.0,343
Oklahoma State,5.0,357
Arkansas,6.0,358
Wake Forest,7.0,373
North Carolina,8.0,387
New Mexico,9.0,429
Syracuse,10.0,461
Stanford,11.0,466
Notre Dame,12.0,470
Oregon,13.0,513
CBU,14.0,526
Villanova,15.0,603
Washington,16.0,613
Virginia,17.0,635
Colorado,18.0,637
Furman,19.0,652
Butler,20.0,655
Alabama,21.0,670
Utah State,22.0,724
Georgetown,23.0,751
Princeton,24.0,756
Virginia Tech,25.0,778
Ole Miss,26.0,794
Harvard,27.0,796
Tulane,28.0,902
Wyoming,29.0,903
Eastern Kentucky,30.0,913
Tulsa,31.0,960
