,event,2040 Top Performance,2040 16th/12th-ranked Performance
0,60 Meters Men,0:06.43,0:06.48
1,60 Meters Women,0:06.98,0:07.09
2,200 Meters Men,0:19.60,0:20.34
3,200 Meters Women,0:21.72,0:22.33
4,400 Meters Men,0:44.67,0:45.06
5,400 Meters Women,0:48.45,0:50.34
6,800 Meters Men,1:44.03,1:44.60
7,800 Meters Women,1:57.44,1:58.03
8,Mile Men,3:39.38,3:48.59
9,Mile Women,4:15.90,4:16.52
10,3000 Meters Men,7:13.43,7:23.56
11,3000 Meters Women,8:25.56,8:22.67
12,5000 Meters Men,12:22.36,12:49.20
13,5000 Meters Women,14:16.97,14:46.76
14,60 Hurdles Men,0:07.27,0:07.40
15,60 Hurdles Women,0:07.94,0:07.94
16,4 x 400 Relay Men,2:59.60,3:01.23
17,4 x 400 Relay Women,3:20.17,3:24.68
18,Distance Medley Relay Men,8:58.81,9:08.47
19,Distance Medley Relay Women,10:16.26,10:29.93
20,High Jump Men,2.32,2.22
21,High Jump Women,2.04,1.88
22,Pole Vault Men,5.88,5.79
23,Pole Vault Women,5.38,4.7
24,Long Jump Men,8.17,7.91
25,Long Jump Women,7.27,6.65
26,Triple Jump Men,17.11,15.99
27,Triple Jump Women,14.23,13.74
28,Shot Put Men,21.51,20.26
29,Shot Put Women,20.4,18.92
30,Weight Throw Men,26.39,24.8
31,Weight Throw Women,26.0,23.61
32,Pentathlon Women,4949,4410
33,Heptathlon Men,6252,5982
